                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1043,                 1.2234,                 1.5944,                0.91212,                0.74499,                0.84143,                0.69583,                0.86746,                0.91596,                 1.4829,             0.00066242,             0.00066242,             0.00066242
                      2,                 1.1496,                 1.2701,                 1.6457,                0.95313,                0.70372,                0.82381,                0.68458,                0.88232,                0.95407,                 1.4969,              0.0012279,              0.0012279,              0.0012279
                      3,                 1.1824,                 1.3207,                 1.6663,                0.90634,                0.72272,                0.82474,                 0.6949,                  0.849,                0.95368,                 1.4662,              0.0016918,              0.0016918,              0.0016918
                      4,                  1.168,                 1.2494,                 1.6911,                0.93747,                0.70492,                0.82388,                0.68056,                0.89714,                0.96299,                 1.5039,              0.0015431,              0.0015431,              0.0015431
                      5,                 1.1351,                 1.1909,                 1.6648,                 0.9672,                0.66302,                0.79902,                0.66714,                0.88182,                 1.0104,                 1.4648,              0.0013908,              0.0013908,              0.0013908
                      6,                 1.1003,                 1.1642,                 1.6266,                0.93622,                0.74135,                0.85206,                0.69778,                 0.8225,                0.85409,                 1.4158,              0.0012385,              0.0012385,              0.0012385
                      7,                 1.0613,                 1.0808,                 1.5725,                 0.9178,                0.73214,                0.84511,                0.72367,                0.79913,                0.84572,                 1.3832,              0.0010862,              0.0010862,              0.0010862
                      8,                 1.0195,                 1.0483,                 1.5463,                0.97576,                0.73324,                0.85148,                0.72881,                0.75089,                 0.8506,                 1.3304,             0.00093385,             0.00093385,             0.00093385
                      9,                 0.9872,                0.99982,                 1.5131,                0.95609,                0.75355,                0.86455,                0.72903,                0.75356,                0.79722,                 1.3335,             0.00078154,             0.00078154,             0.00078154
                     10,                0.96902,                0.96269,                 1.4879,                0.95735,                0.74681,                0.86836,                0.73872,                0.76407,                0.79475,                  1.337,             0.00062923,             0.00062923,             0.00062923
                     11,                0.93088,                0.92969,                 1.4575,                0.96319,                0.76264,                0.87585,                0.74924,                0.72977,                 0.7407,                 1.3017,             0.00047692,             0.00047692,             0.00047692
                     12,                0.90448,                0.87914,                 1.4378,                0.94892,                0.77825,                0.87873,                0.73621,                0.75156,                0.72307,                 1.3301,             0.00032462,             0.00032462,             0.00032462
                     13,                0.88117,                0.85288,                 1.4049,                0.94534,                0.78762,                0.88202,                 0.7579,                0.70321,                0.71275,                 1.2829,             0.00017231,             0.00017231,             0.00017231
